ï»¿Date,Home,Away,HG,AG,H_Max,D_Max,A_Max,H_Avg,D_Avg,A_Avg,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG
12/10/2025,Faroe Islands,Czech Republic,2,1,7.5,4.65,1.49,6.96,4.51,1.44,6,14,3,1,10,13,1,7,3,1,0,0,0.68,1.67
12/10/2025,Ghana,Comoros,1,0,1.36,4.8,11,1.31,4.59,9.94,2,4,2,1,15,5,5,2,2,0,0,0,,
12/10/2025,Lithuania,Poland,0,2,11,5.5,1.36,9.85,4.99,1.31,7,12,1,6,21,13,4,8,2,2,0,0,0.2,1.11
12/10/2025,Mali,Madagascar,4,1,2.02,3.5,4.1,1.95,3.21,3.82,12,5,6,3,,,3,6,3,0,0,0,,
12/10/2025,Netherlands,Finland,4,0,1.13,10,29,1.11,9.28,20.88,17,7,6,3,8,13,12,1,0,2,0,0,2.51,0.64
12/10/2025,Romania,Austria,1,0,5.25,4,1.7,4.94,3.87,1.67,10,3,2,1,10,17,2,4,2,4,0,0,0.45,0.16
12/10/2025,San Marino,Cyprus,0,4,19,7.5,1.19,16.65,6.88,1.16,5,18,0,7,15,13,2,5,2,3,0,0,1.04,3.49
12/10/2025,Scotland,Belarus,2,1,1.14,9.5,26,1.12,8.53,21.41,12,22,6,3,10,14,7,6,0,2,0,0,1.23,1.28
12/10/2025,Zambia,Niger,0,1,2.35,3.05,4.2,2.17,2.9,3.62,16,8,3,5,9,7,9,4,0,3,0,0,,
11/10/2025,Bulgaria,Turkey,1,6,11,5.5,1.33,9.88,5.31,1.3,4,18,2,8,11,4,5,8,2,1,0,0,0.4,1.77
11/10/2025,Curacao,Jamaica,2,0,3.4,3.15,2.38,3.22,2.99,2.24,7,18,4,7,10,7,0,4,0,1,0,0,0.42,1.3
11/10/2025,El Salvador,Panama,0,1,6,3.5,1.75,5.32,3.37,1.66,10,7,1,2,21,14,3,5,3,0,0,0,1.29,1.09
11/10/2025,Estonia,Italy,1,3,41,15,1.08,30.71,11.88,1.06,2,24,1,9,22,9,0,8,4,3,0,0,0.97,2.31
11/10/2025,Hungary,Armenia,2,0,1.36,5.66,10,1.32,5.23,8.96,13,8,4,2,9,10,10,1,0,1,0,0,1.73,0.46
11/10/2025,Iraq,Indonesia,1,0,1.83,3.8,4.5,1.75,3.61,4.23,7,9,2,1,6,18,3,4,2,6,1,2,0.27,0.69
11/10/2025,Latvia,Andorra,2,2,1.65,3.55,7.5,1.6,3.39,6.98,9,5,2,2,7,13,5,1,1,3,0,1,1.22,0.55
11/10/2025,Norway,Israel,5,0,1.25,7.5,12,1.22,6.86,10.65,16,4,5,1,10,11,5,1,0,1,0,0,2.26,0.15
11/10/2025,Portugal,Ireland,1,0,1.15,9,26,1.13,8.12,20.71,30,2,6,0,6,9,9,0,2,5,0,0,2.97,0.08
11/10/2025,Serbia,Albania,0,1,1.85,3.4,5.7,1.82,3.28,4.85,15,6,6,3,19,14,4,2,2,3,0,0,1.56,0.69
11/10/2025,Spain,Georgia,2,0,1.17,8.5,19,1.15,8.11,15.47,24,1,7,1,12,8,10,0,1,0,0,0,3.83,0.01
11/10/2025,United Arab Emirates,Oman,2,1,1.6,19,401,1.52,4.35,29.82,10,9,4,2,12,12,6,4,1,3,0,0,0.93,0.84
10/10/2025,Belgium,North Macedonia,0,0,1.2,8,19,1.16,7.43,16.24,25,3,5,0,15,8,13,2,3,2,0,0,3.2,0.06
10/10/2025,Bermuda,Trinidad & Tobago,0,3,4.5,4.33,1.73,4.24,3.96,1.66,10,22,4,8,12,14,3,3,1,1,0,0,0.91,2.99
10/10/2025,France,Azerbaijan,3,0,1.01,46,181,1.01,29.55,86.55,33,1,9,0,8,14,10,0,1,2,0,0,2.4,0.04
10/10/2025,Gambia,Gabon,3,4,3.6,3.25,2.2,3.49,3.14,2.09,11,7,4,5,,,6,4,3,5,0,1,,
10/10/2025,Germany,Luxembourg,4,0,1.05,20,67,1.03,15.88,53.31,31,1,8,1,10,5,7,0,0,1,0,1,3.86,0.01
10/10/2025,Honduras,Costa Rica,0,0,3.2,3.15,2.45,2.97,3.04,2.36,11,5,1,1,17,16,2,0,2,3,0,0,0.48,0.6
10/10/2025,Iceland,Ukraine,3,5,3.33,3.4,2.3,3.15,3.31,2.26,9,8,5,7,11,13,4,2,1,4,0,0,0.98,1
10/10/2025,Kazakhstan,Liechtenstein,4,0,1.09,13,71,1.07,10.5,38.94,25,3,10,2,12,15,9,1,2,2,0,0,3,0.58
10/10/2025,Kosovo,Slovenia,0,0,2.45,3,3.4,2.4,2.97,3.2,5,11,0,2,10,12,2,4,2,2,0,0,0.26,0.77
10/10/2025,Lesotho,Nigeria,1,2,41,16.5,1.05,30.8,12.43,1.04,7,16,2,11,9,12,2,5,0,1,0,0,,
10/10/2025,Nicaragua,Haiti,0,3,3.8,3.6,2,3.61,3.34,1.94,12,10,3,6,11,15,7,7,1,2,0,0,0.61,0.97
10/10/2025,Northern Ireland,Slovakia,2,0,2.5,3,3.5,2.41,2.85,3.31,11,7,4,2,14,12,6,4,2,0,0,0,0.72,0.64
10/10/2025,Rwanda,Benin,0,1,3.35,3,2.66,2.98,2.86,2.5,6,5,2,1,8,10,2,4,0,3,0,0,,
